frame,x1,y1,w,h,score,ms
254,67.92,289.85,84.9,40.82,0.7511,26.9
255,65.05,297.86,85.99,40.81,0.7989,28.4
256,65.98,299.28,86.28,41.35,0.5741,27.0
257,64.98,301.69,86.2,42.09,0.6593,27.9
258,64.36,303.09,86.78,42.54,0.6198,26.9
259,63.73,304.19,87.44,42.8,0.7516,28.0
260,64.44,305.23,87.62,43.29,0.7558,27.3
261,64.97,306.41,87.73,43.5,0.8279,28.0
262,66.06,307.71,88.04,43.54,0.5735,27.1
263,60.48,310.44,87.63,43.28,0.6593,28.3
264,59.83,312.46,88.19,42.65,0.8925,27.4
265,61.49,313.48,87.7,42.4,0.7579,28.5
266,62.58,309.36,86.65,41.8,0.6869,26.5
267,62.57,311.69,87.26,42.1,0.895,28.0
268,60.82,312.81,88.38,42.19,0.7116,26.7
269,59.67,313.56,88.76,42.18,0.6474,28.2
270,59.22,308.74,88.01,42.18,0.5123,27.1
271,64.3,309.52,88.15,42.41,0.8358,27.5
272,64.74,304.85,88.3,42.62,0.5323,26.6
273,63.57,305.63,88.2,42.78,0.8579,28.0
274,57.49,306.44,89.94,41.33,0.558,27.0
275,63.61,306.48,89.47,41.62,0.5818,28.1
276,60.01,306.17,90.78,40.39,0.4884,27.4
277,60.69,301.71,90.09,40.87,0.4544,27.5
278,58.95,302.38,91.14,39.97,0.4476,27.1
279,58.0,303.32,92.45,38.81,0.7509,27.8
280,61.0,303.57,93.49,37.67,0.8465,27.4
281,57.68,303.13,94.08,37.12,0.6448,28.2
282,60.72,302.69,94.45,36.57,0.6614,27.3
283,58.37,301.84,95.84,36.4,0.7611,28.4
284,63.95,295.86,96.14,36.11,0.7534,27.6
285,60.92,289.6,97.42,36.09,0.89,28.5
286,61.43,283.72,95.68,38.04,0.8181,26.9
287,88.89,283.32,102.59,36.36,0.8742,27.8
288,108.87,285.76,109.77,34.28,0.9259,26.7
289,108.74,286.47,115.06,33.16,0.92,28.0
290,107.9,286.14,118.54,32.66,0.9001,27.3
291,101.04,285.15,123.07,32.04,0.9433,27.6
292,97.25,283.31,127.82,31.96,0.9033,26.8
293,96.61,282.86,132.06,32.38,0.9531,27.3
294,88.87,282.61,135.6,33.45,0.9661,26.9
295,74.71,282.79,138.58,34.77,0.9245,27.9
296,70.1,284.33,141.7,36.04,0.9619,27.4
297,65.92,286.34,145.62,36.99,0.9621,28.0
298,64.97,287.19,148.97,38.02,0.9725,27.4
299,69.22,288.04,153.67,38.47,0.9748,28.4
300,66.98,289.16,159.67,39.17,0.9824,27.1
301,63.65,290.33,163.28,39.99,0.9837,28.4
302,62.31,291.19,166.64,40.74,0.9745,27.6
303,62.71,291.21,169.32,41.48,0.9742,27.8
304,63.2,291.22,170.94,42.16,0.9746,27.0
305,63.28,291.92,176.99,42.7,0.9646,28.2
306,60.03,292.81,178.41,43.15,0.9834,27.3
307,57.02,294.04,178.91,43.77,0.9804,28.0
308,60.35,296.89,181.49,44.04,0.9317,27.1
309,58.4,298.74,186.15,44.69,0.9799,28.5
310,55.55,300.43,189.95,45.3,0.9781,27.5
311,53.08,301.17,189.36,45.6,0.9866,28.2
312,57.15,303.22,189.49,46.68,0.9741,27.1
313,59.53,306.12,188.43,46.65,0.872,28.0
314,58.56,308.77,186.37,46.48,0.7709,27.0
315,60.91,310.05,187.47,46.64,0.9737,28.0
316,60.53,309.3,186.85,46.58,0.898,26.9
317,62.85,307.71,188.19,47.11,0.9547,28.0
318,63.1,305.5,187.1,47.73,0.9429,26.7
319,61.0,294.09,184.9,47.95,0.9786,28.2
320,63.92,290.94,187.53,49.26,0.9657,26.6
321,60.42,287.02,185.89,50.41,0.9523,27.9
322,60.99,274.77,184.32,50.17,0.9805,26.8
323,61.31,273.22,188.91,50.31,0.9823,28.1
324,59.82,269.34,192.38,51.05,0.8991,27.1
325,54.88,257.4,197.23,51.5,0.908,27.9
326,59.81,257.22,199.73,52.25,0.8185,27.0
327,53.78,255.79,203.39,52.47,0.872,28.0
328,51.43,254.22,206.09,53.02,0.8932,26.6
329,52.96,251.68,206.83,53.92,0.9259,28.0
330,50.81,250.8,208.78,54.31,0.927,26.7
331,46.47,250.45,210.63,54.73,0.9336,28.5
332,46.4,250.54,212.22,55.27,0.9419,27.3
333,48.02,250.6,211.93,55.74,0.92,28.7
334,47.1,250.47,212.75,56.04,0.899,27.3
335,46.97,250.95,214.7,56.29,0.9718,28.0
