frame,x1,y1,w,h,score,ms
355,55.78,276.92,126.0,36.97,0.3504,26.7
356,64.38,279.43,126.38,36.68,0.4867,28.3
357,65.22,273.88,129.73,36.29,0.8296,27.3
358,58.43,277.27,130.37,36.52,0.696,28.0
359,61.58,278.48,131.42,36.68,0.4591,27.0
360,61.6,277.7,132.18,37.09,0.7003,28.1
361,64.92,279.39,134.22,37.42,0.6541,27.3
362,58.85,272.82,135.57,37.65,0.5847,27.8
363,55.55,274.99,136.61,38.51,0.7885,27.0
364,67.66,276.57,136.88,38.99,0.6915,28.0
365,58.33,278.65,136.48,39.03,0.7423,27.0
366,54.46,273.62,136.0,39.25,0.6832,28.3
367,70.52,276.54,139.08,39.2,0.7188,27.4
368,58.27,279.99,140.11,39.72,0.8235,28.5
369,55.41,274.62,139.26,40.33,0.4777,27.2
370,52.27,277.15,139.37,40.49,0.6025,28.1
371,52.35,278.7,137.86,41.0,0.6527,27.2
372,53.43,272.66,141.73,41.12,0.8575,28.1
373,60.23,275.41,144.63,41.15,0.7304,27.1
374,55.45,278.87,146.75,41.6,0.7652,28.2
375,49.95,273.48,149.14,41.84,0.6537,27.0
376,48.33,276.5,148.62,42.6,0.7345,28.3
377,62.29,278.88,151.87,42.44,0.7741,27.1
378,66.5,273.59,153.49,42.85,0.6132,28.4
379,56.2,278.94,154.08,43.09,0.6614,27.0
380,51.5,272.21,155.23,43.92,0.6086,28.2
381,66.67,275.52,157.69,44.78,0.6734,27.0
382,59.48,275.96,161.89,45.53,0.8125,28.2
383,71.21,271.68,163.96,46.28,0.6832,27.3
384,65.43,275.04,165.18,46.68,0.8463,28.2
385,66.52,276.81,168.39,47.01,0.5967,27.4
386,70.07,269.35,169.88,48.53,0.6221,28.2
387,73.79,269.29,174.62,49.12,0.6819,27.0
388,65.44,272.13,180.78,49.38,0.8939,28.5
389,72.0,272.86,183.99,49.69,0.7825,27.0
390,74.95,275.44,183.12,50.75,0.8533,28.6
391,75.71,267.2,187.01,51.22,0.7487,27.4
392,64.85,267.56,191.4,52.59,0.7711,27.6
393,65.33,274.44,196.4,52.85,0.8146,26.7
394,66.14,277.24,199.11,53.54,0.6048,28.2
395,64.75,269.78,200.44,54.11,0.6343,27.1
396,69.01,272.97,203.01,55.56,0.9032,28.3
